Ime,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ian,-,-,-,-,-,-,-,-,6,5,11,9,13,11,15,24,28,22,41,27,45,32,22,39
Igor,35,30,29,23,15,19,23,13,13,10,9,8,6,6,11,5,6,8,9,-,6,7,7,-
Ilan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,8,-,-,-
Imran,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6
Irenej,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,7,-,-
Isak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
Ivan,12,18,19,13,15,14,10,9,10,11,9,11,5,7,5,6,6,10,15,10,8,12,18,10
Ivano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,8,-,-,-,5
Ivo,9,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,5,5,6,6,-,6
Izak,-,-,-,-,-,7,-,7,7,-,-,9,11,7,16,21,26,41,32,44,53,46,49,56
Izidor,6,7,11,7,11,-,6,5,7,-,5,6,6,-,-,8,-,5,5,9,-,11,7,10
Iztok,16,14,-,11,9,7,-,6,5,-,-,-,-,-,5,6,-,5,-,-,5,-,-,-
Jaka,107,107,101,113,148,149,147,159,142,142,134,155,166,168,157,164,198,197,201,178,195,180,180,191
Jakob,37,40,49,54,69,71,87,91,112,113,105,135,150,148,158,156,209,230,225,185,238,244,240,206
Jakov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,6
Jalen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-
Jan,219,242,277,327,338,346,317,275,371,307,325,281,269,269,242,260,275,217,206,242,204,175,183,147
Janez,58,54,55,67,47,34,30,30,35,26,23,21,20,21,22,19,24,13,29,16,22,14,15,9
